chr1	1095420	1095420	10
chr1	1226073	1226073	10
chr1	1241049	1241049	10
chr1	1242841	1242841	10
chr1	1298812	1298812	10
chr1	1436903	1436903	10
chr1	1539014	1539014	10
chr1	1621468	1621468	10
chr1	1650028	1650028	10
chr1	1651076	1651076	10
chr1	1654635	1654635	10
chr1	1665773	1665773	10
chr1	1683364	1683364	10
chr1	1734827	1734827	10
chr1	1764747	1764747	10
chr1	1801761	1801761	10
chr1	2016692	2016692	10
chr1	2030956	2030956	10
chr1	2051291	2051291	10
chr1	2052656	2052656	10
chr1	2063832	2063832	10
chr1	2073777	2073777	10
chr1	2083523	2083523	10
chr1	2083584	2083584	10
chr1	2087304	2087304	10
chr1	2087447	2087447	10
chr1	2092289	2092289	10
chr1	2109191	2109191	10
chr1	2109725	2109725	10
chr1	2152997	2152997	10
chr1	2155653	2155653	10
chr1	2155872	2155872	10
chr1	216736	216736	10
chr1	2186314	2186314	10
chr1	2201941	2201941	10
chr1	2203466	2203466	10
chr1	2234914	2234914	10
chr1	2235118	2235118	10
chr1	2245940	2245940	10
chr1	2272566	2272566	10
chr1	2273132	2273132	10
chr1	2279750	2279750	10
chr1	2299225	2299225	10
chr1	2307572	2307572	10
chr1	2378543	2378543	10
chr1	2392213	2392213	10
chr1	2431538	2431538	10
chr1	2446557	2446557	10
chr1	2487930	2487930	10
chr1	2492751	2492751	10
chr1	2517350	2517350	10
chr1	2517612	2517612	10
chr1	2543397	2543397	10
chr1	2552157	2552157	10
chr1	2571721	2571721	10
chr1	2609753	2609753	10
chr1	2643624	2643624	10
chr1	2759036	2759036	10
chr1	2764548	2764548	10
chr1	2764862	2764862	10
chr1	2813693	2813693	10
chr1	2856904	2856904	10
chr1	2905031	2905031	10
chr1	2972930	2972930	10
chr1	300083	300083	10
chr1	3006811	3006811	10
chr1	3040366	3040366	10
chr1	3063381	3063381	10
chr1	3155660	3155660	10
chr1	3253375	3253375	10
chr1	3269293	3269293	10
chr1	3281369	3281369	10
chr1	3321947	3321947	10
chr1	3336708	3336708	10
chr1	3401418	3401418	10
chr1	3534689	3534689	10
chr1	3594366	3594366	10
chr1	3857710	3857710	10
chr1	4171596	4171596	10
chr1	4489746	4489746	10
chr1	4539198	4539198	10
chr1	4585768	4585768	10
chr1	4662328	4662328	10
chr1	4772689	4772689	10
chr1	4975203	4975203	10
chr1	4984005	4984005	10
chr1	5044120	5044120	10
chr1	548896	548896	10
chr1	59247	59247	10
chr1	5943218	5943218	10
chr1	60455	60455	10
chr1	6171959	6171959	10
chr1	621877	621877	10
chr1	653494	653494	10
chr1	66039	66039	10
chr1	6739552	6739552	10
chr1	724194	724194	10
chr1	73077	73077	10
chr1	770410	770410	10
chr1	770841	770841	10
chr1	772769	772769	10
chr1	775392	775392	10
chr1	966977	966977	10
